"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"1932","not-burned",786.914,1.53351,0.714054,1836.61,924.574,0.895577,1237.46,"4",21.06175,72.31461,1.158061,13.72791,0.1564307,"0"
"1933","not-burned",756.638,2.75277,0.597178,5118.91,1077.37,3.51187,2903.94,"4",25.02251,77.74209,6.564818,15.64338,7.729641e-05,"0"
"1934","not-burned",771.811,2.62855,0.52571,1433.96,273.598,0.895577,3860.89,"4",27.08122,72.56447,18.16644,16.60299,4.025737e-12,"0"
"1935","not-burned",826.245,1.13597,0.417335,988.811,2346.9,0.895577,3875.23,"41",25.81862,30.37283,27.955,5.754374,2.220446e-16,"0"
"1936","not-burned",710.086,2.06704,0.55537,2773.05,1464.25,3.51187,2284.03,"4",20.55009,91.49148,26.60455,14.04005,2.220446e-16,"0"
"1937","not-burned",808.569,1.01062,0.493118,1448.06,1032.25,0.895577,4509.94,"12",28.654,33.76788,30.90367,15.74991,2.220446e-16,"0"
"1938","not-burned",676.497,2.81709,0.588406,1919.04,580.787,1.10344,2691.2,"4",24.71278,57.48553,34.3439,10.38622,2.220446e-16,"0"
"1939","not-burned",699.331,4.69377,0.663629,2343.94,237.43,1.53336,709.039,"4",26.409,38.55118,20.85195,9.309276,3.038994e-13,"0"
"1940","not-burned",724.52,1.37279,0.584252,4324.15,67.976,3.51187,4763.56,"4",29.03384,60.37038,39.93585,18.04515,2.220446e-16,"0"
"1941","not-burned",715.65,2.6984,0.545156,4134.82,607.996,1.10344,1779.1,"4",27.3463,30.70676,5.557527,4.741027,0.01294713,"0"
"1942","not-burned",825.517,0.984759,0.401968,515.902,2877.08,0.895577,3490.69,"41",25.84527,47.47153,9.860712,15.16765,2.186011e-05,"0"
"1943","not-burned",753.196,10.0679,0.584847,2870.65,1490.83,1.10344,2389.43,"4",21.89841,32.33052,17.37649,15.61709,7.959895e-11,"0"
"1944","not-burned",819.498,0.855645,0.640187,429.918,1810,0.895577,3587.69,"4",30.25664,90.93946,12.33195,14.903,5.872909e-09,"0"
