hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
1,448.7030029,0.87785399,0.6437,7059.689941,1222.810059,7.641960144,685.8505859,3,2006
0,746.4019775,1.031119943,0.668797,339.8800049,2968.149902,0.292205989,4239.108887,4,2006
0,792.8449707,2.044909954,0.692409992,2802.719971,3208.580078,0.0,11028.42285,4,2006
0,775.6489868,3.350019932,0.623218,829.7529907,565.4689941,0.0,11881.80859,4,2006
0,754.940979,2.788419962,0.605835974,327.4159851,231.5180054,0.0,12066.11328,4,2006
0,753.3289795,0.952795982,0.709914029,3319.709961,1031.800049,0.0123088,5891.680176,4,2006
0,749.2459717,1.270820022,0.673813999,1954.119995,1021.450012,0.0123088,10594.88379,4,2006
0,750.1129761,1.135360003,0.680477023,1063.98999,1135.829956,0.292205989,1849.396973,3,2006
0,721.8330078,1.190989971,0.564809978,4688.77002,1548.300049,0.0,3432.081299,4,2006
0,741.1439819,2.756930113,0.649851978,672.9279785,3067.219971,1.961470008,2888.460205,4,2006
0,804.4890137,1.485710025,0.650431991,1622.339966,694.5540161,0.0123088,13215.38086,4,2006
0,727.8699951,4.064330101,0.60848701,503.2059937,0.0,5.438560009,1204.537842,4,2006
0,738.5969849,3.210340023,0.626610994,1557.819946,323.1539917,6.438739777,1490.520142,4,2006
0,810.4780273,2.136219978,0.658315003,1875.199951,974.690979,0.0123088,11707.11719,4,2006
0,714.6270142,0.803952992,0.573184013,2664.800049,30.39979935,0.0,1417.099854,4,2006
0,740.9089966,3.362649918,0.598302007,1317.050049,192.2649994,6.438739777,1533.608521,4,2006
0,821.4119873,1.041980028,0.636399984,1922.650024,548.039978,0.292205989,6447.336426,4,2006
0,763.0100098,2.415620089,0.605938971,490.1820068,1340.699951,5.438560009,672.9281006,4,2006
0,798.1010132,1.749130011,0.674174011,762.4229736,491.1239929,0.0,10908.44336,4,2006
0,754.9849854,2.090300083,0.660520017,3274.159912,1699.400024,0.0,3698.294189,4,2006
0,830.0209961,0.199003994,0.660050988,649.8729858,2254.709961,0.0123088,9234.833984,4,2006
0,740.4710083,0.845770001,0.630478024,2558.100098,0.0,0.0,6397.33252,4,2006
0,720.6849976,0.868682981,0.426593989,1569.349976,3509.560059,5.752769947,1359.52002,15,2006
0,791.0980225,2.96987009,0.638215005,1037.609985,669.4860229,5.752769947,4873.931641,4,2006
0,760.9400024,2.763309956,0.666625023,674.9849854,516.7960205,5.438560009,558.8933716,3,2006
0,710.8770142,3.684819937,0.564391971,967.5540161,944.3530273,1.010669947,1098.185913,15,2006
0,797.5109863,2.67027998,0.667227983,1999.22998,1094.390015,0.0123088,6849.202148,4,2006
0,831.2020264,0.315349013,0.642618001,886.2990112,2516.030029,0.0123088,6041.533203,4,2006
0,824.8189697,2.303659916,0.673783004,2470.629883,2247.320068,0.0,5723.644043,4,2006
0,829.9879761,0.283692986,0.691145003,259.7359924,1767.380005,0.292205989,5126.310059,4,2006
0,755.2119751,2.78105998,0.588304996,1147.160034,1163.959961,1.010669947,4087.274414,4,2006
0,458.3120117,0.257070005,0.554396987,4192.310059,1204.540039,12.19499969,2966.745605,4,2006
0,781.2969971,2.533349991,0.709414005,1558.420044,1800.530029,1.010669947,2150.019775,3,2006
0,747.2910156,0.513565004,0.644689977,2936.850098,423.4200134,1.010669947,4789.873047,4,2006
0,464.8869934,1.075009942,0.511116028,4013.350098,1337.939941,7.641960144,775.0456543,4,2006
0,513.7109985,2.969280005,0.576882005,683.1500244,354.5190125,7.641960144,938.4627686,4,2006
0,446.1499939,1.068050027,0.667945981,4174.080078,151.9989929,7.641960144,838.6156006,4,2006
0,506.1329956,0.696437001,0.537548006,886.2990112,480.6629944,7.641960144,2468.942139,4,2006
