"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"323",24.27188,82.61458,7.749478,6.232656,"not-burned",0.0115600087300546,"0"
"324",24.82708,82.54167,19.72694,3.341719,"not-burned",0.00456840610440758,"0"
"325",21.20469,94.91146,52.68779,9.934062,"not-burned",0.000109588010171954,"0"
"326",22.36458,83.41667,0.947792,9.806771,"not-burned",0.0138961572439905,"0"
"327",24.85104,76.03125,1.699016,6.931875,"burned",0.0335146212678481,"0"
"328",25.6901,75.125,2.005835,5.13849,"not-burned",0.038160971847571,"0"
"329",25.825,74.94271,0.8391105,6.892917,"not-burned",0.0491855665625429,"0"
"330",26.61094,69.54167,1.698492,9.393333,"not-burned",0.0938327899805997,"0"
"331",26.98698,64.22917,0.2326648,9.849635,"not-burned",0.157854172494869,"0"
"332",27.04844,60.13021,0.1256835,7.946146,"not-burned",0.179096377234705,"0"
"333",26.94167,62.47396,0.1811359,6.54526,"not-burned",0.140156841130645,"0"
"334",27.62448,65.51562,1.759307,5.16599,"burned",0.114697914279646,"0"
"335",27.9125,66.43229,1.604328,5.426042,"not-burned",0.119874482211573,"0"
"336",27.40052,62.5,0.350113,9.458594,"burned",0.184727381357166,"0"
"337",26.78594,61.14583,0.324291,9.950521,"not-burned",0.17847435560362,"0"
