HAS_FIRE;datahora;latitude;longitude;elev_cave;slope_cave;NDVI_cave;hidro_dist;road_dista;censo_cave;Classe_cav
1;2007/09/26 16:50:00;-14,93000031;-44,56999969;719,1420288;1,667430043;0,608259022;151,9989929;2905,209961;0;4
1;2007/10/18 13:25:00;-14,90999985;-44,47800064;801,3049927;4,536849976;0,545014977;1421,329956;1824,48999;1,195619941;3
1;2007/10/18 20:15:42;-14,90999985;-44,49100113;793,78302;2,653970003;0,590232015;2371,379883;1150,780029;0;4
1;2007/09/26 04:36:00;-14,90999985;-44,59500122;732,4130249;2,49090004;0,457331985;519,4719849;1329,619995;0;4
1;2007/10/18 20:45:00;-14,90999985;-44,54999924;758,8209839;2,305320024;0,505551994;924,5739746;30,39979935;0;4
1;2007/09/26 20:39:52;-14,90999985;-44,65599823;740,3569946;1,481770039;0,623445988;395,196991;2021,300049;0;4
1;2007/10/18 20:15:42;-14,92000008;-44,49000168;777,6099854;3,438610077;0,553367972;1569,349976;271,9039917;0;4
1;2007/09/26 04:30:20;-14,90999985;-44,70100021;757,9379883;3,789030075;0,677278996;395,196991;1144,339966;0,0123089;4
1;2007/09/25 16:07:00;-14,92000008;-44,58399963;719,4089966;1,808419943;0,634401977;192,2649994;2044,939941;0;5
1;2007/09/26 16:50:00;-14,90999985;-44,60499954;724,2880249;2,042259932;0,539220989;300,9429932;980,3640137;0;4
1;2007/09/25 13:19:00;-14,92000008;-44,57799911;741,8330078;1,59126997;0,58889699;1101,550049;1253,420044;0;4
1;2007/09/26 01:33:00;-14,93000031;-44,57300186;718,2280273;0,646997988;0,833227992;212,798996;2439;0;5
1;2007/09/26 08:11:33;-14,90999985;-44,59999847;732,7960205;2,469189882;0,533352971;125,3420029;1002,72998;0;4
1;2008/10/06 19:17:25;-14,92000008;-44,7480011;777,9030151;1,846889973;0,619628012;2161,810059;1089,73999;0,292205989;4
1;2008/09/08 20:00:00;-14,90999985;-44,63299942;724,4439697;1,765580058;0,596561015;60,79959869;1825;0,0123089;5
1;2008/10/06 19:17:25;-14,92000008;-44,77099991;783,0009766;1,478199959;0,588458002;537,8270264;1237,459961;0,292205989;4
1;2008/10/05 20:15:00;-14,90999985;-44,70000076;765,1760254;1,065080047;0,623768985;775,0460205;1544,420044;0,0123089;4
1;2008/09/08 19:30:00;-14,90999985;-44,59999847;730,7420044;1,195490003;0,544627011;60,79959869;1180,51001;0;4
1;2008/10/06 19:17:25;-14,92000008;-44,72499847;766,9810181;0,966189027;0,712863982;1057,459961;1247,869995;0,292205989;4
1;2008/10/06 19:17:25;-14,93000031;-44,74599838;770,9760132;1,707039952;0,55429697;1098,609985;590,257019;0,292205989;4
1;2008/09/08 21:30:00;-14,90999985;-44,65000153;729,5780029;0,680073977;0,639777005;214,9589996;2403,889893;0,0123089;4
1;2008/10/08 16:50:24;-14,93000031;-44,78300095;801,5419922;1,372990012;0,671965003;426,6809998;2768,379883;0,292205989;4
1;2008/09/08 19:30:00;-14,90999985;-44,61600113;724,065979;2,873529911;0,586036026;121,598999;286,7909851;0,0123089;5
1;2008/10/08 16:50:24;-14,93000031;-44,60599899;733,3010254;1,239570022;0,678737998;91,19940186;1851,390015;0,0123089;4
1;2008/10/06 19:17:25;-14,90999985;-44,77299881;798,6339722;0,659591019;0,627723992;1415,800049;834,75;0,292205989;2
1;2008/10/05 20:15:00;-14,90999985;-44,65000153;729,5780029;0,680073977;0,639777005;214,9589996;2403,889893;0,0123089;4
1;2008/10/05 19:44:02;-14,92000008;-44,66999817;729,7670288;1,065279961;0,57871002;367,321991;3231,540039;0,0123089;5
1;2008/10/05 19:30:00;-14,90999985;-44,68299866;744,5469971;1,423099995;0,676768005;1210,660034;2978,870117;0,0123089;4
1;2008/10/05 19:44:02;-14,90999985;-44,67100143;733,75;1,672449946;0,603761017;163,7079926;2206,030029;0;4
1;2008/09/08 19:26:48;-14,93000031;-44,63999939;728,6220093;1,695189953;0,339130014;212,798996;1605,160034;0,0123089;3
