"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","year","month"
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
0.197319965000076,0.0332028790000798,0.0493299910000798,8.328e-14,0.0739949870000798,0.0692517180000798,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,0.00189730700007981,8.328e-14,8.328e-14,0.0227676880000798,0.00094865400007981,0.00189730700007981,0.0142298050000763,0.00569192100007287,0.00094865400007981,0.00474326900007634,0.00853788300007634,0.00569192200007634,0.00189730700007981,48384,240
0.0758922940000625,0.0360488390000659,0.055970567000059,0.0275109560000694,0.00189730700007981,0.0218190340000694,0.134708821000069,0.0398434540000659,0.00379461500007634,0.0891734450000729,0.0464840310000729,0.0151784590000729,0.00569192200007634,0.0322542260000729,0.0256136490000729,0.0426894150000729,0.0474326840000763,0.0142298050000763,0.0161271120000694,0.0275109570000729,0.0208703800000659,0.0474326840000659,0.329182826000056,0.269417644000059,48384,240
0.958140212000017,0.894580416000017,0.719079487000031,0.692517185000017,0.338669362000021,0.456302419000024,0.554962401000028,0.741847174000014,0.378512814000028,0.319696289000035,0.554962400000038,0.495197219000042,1.16684402000003,0.739001213000042,0.241906686000049,0.185936120000038,0.269417644000031,0.406972428000038,0.511324329000021,0.296928600000028,0.178346890000056,0.275109567000038,0.413613004000028,0.277955527000045,48384,240
2.61733549000001,4.30783634200001,3.51286456200002,4.54405110700002,4.36001229300002,1.76354718500002,4.01280504700002,4.14371925700002,2.95315889300002,0.870864074000031,1.93715080500003,3.76710374600003,2.66287086800003,2.38586399400004,3.09166233100005,0.387999354000038,0.586267973000035,1.82046640500003,2.50065108900004,1.97699426000004,1.85556659000004,1.26170938800004,2.05762982300004,1.00557289700004,48384,240
0.0123324980000763,0.0189730730000763,0.00284596100007981,0.0132811520000763,0.0132811510000798,8.328e-14,0.00094865400007981,0.0170757660000763,0.00474326900007634,8.328e-14,8.328e-14,8.328e-14,0.00094865400007981,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
